class,module,npm_install,jelly_exit,seconds,note,packages,modules,functions,code_size_main_kb,dependencies_kb,edges_fun2fun,edges_call2fun,calls_zero_or_one_pct,calls_multiple_pct,calls_native_external_pct,calls_total,funcs_zero_callers_pct,funcs_reachable_pct,jelly_time_ms,jelly_memory_mb,errors,warnings,oom,unresolved_module_warnings
prototype-pollution,cookiex-deep_0.0.6,ok,0,0.44,,2,10,36,1,9,30,34,35.14,1.8,63.06,111,22.22,22.22,96,42,0,9,False,0
prototype-pollution,copy-props_2.0.4,ok,0,0.46,,10,11,32,1,10,44,51,58.82,2.35,38.82,85,0.0,100.0,97,44,0,17,False,0
prototype-pollution,deap_1.0.0,ok,0,0.42,,2,4,24,1,4,26,29,68.12,0.0,31.88,69,33.33,8.33,66,39,0,3,False,0
prototype-pollution,decal_2.0.0,ok,0,0.93,,2,35,231,1,76,2140,3227,45.49,19.62,34.88,688,16.88,63.64,573,117,0,157,False,0
prototype-pollution,decal_2.1.3,ok,0,0.91,,2,35,232,1,77,2141,3228,45.31,19.48,35.21,693,16.81,63.36,549,115,0,157,False,0
prototype-pollution,deep-defaults_1.0.5,ok,0,2.25,,3,3,695,1,534,7861,11725,65.54,20.24,14.22,1828,25.76,63.31,1853,384,0,169,False,0
prototype-pollution,deep-extend_0.5.0,ok,0,0.40,,2,2,8,1,5,12,13,46.88,0.0,53.13,32,12.5,25.0,54,36,0,5,False,0
prototype-pollution,deep-get-set_1.1.0,ok,0,0.39,,2,2,4,1,1,4,4,50.0,0.0,50.0,16,0.0,100.0,48,33,0,3,False,0
prototype-pollution,deephas_1.0.5,ok,0,0.40,,2,2,8,1,3,3,4,80.0,0.0,20.0,25,62.5,37.5,50,35,0,0,False,0
prototype-pollution,deeply_3.0.0,ok,0,0.44,,4,18,25,1,14,20,21,35.16,1.1,63.74,91,36.0,36.0,92,40,0,2,False,0
prototype-pollution,deepmergefn_1.1.0,ok,0,0.38,,2,2,2,1,1,3,3,30.0,0.0,70.0,10,0.0,100.0,40,32,0,2,False,0
prototype-pollution,deep-override_1.0.0,ok,0,0.40,,2,2,7,1,3,9,13,53.13,0.0,46.88,32,28.57,28.57,53,35,0,10,False,0
prototype-pollution,deepref_1.1.1,ok,0,0.41,,2,2,17,1,3,21,23,67.57,0.0,32.43,37,5.88,41.18,56,37,0,3,False,0
prototype-pollution,deeps_1.4.5,ok,0,0.43,,2,2,17,1,10,30,43,70.42,0.0,29.58,71,17.65,17.65,78,38,0,14,False,0
prototype-pollution,deep-set_1.0.0,ok,0,0.41,,2,2,9,1,3,10,12,54.55,4.55,40.91,22,22.22,66.67,55,35,0,8,False,0
prototype-pollution,defaults-deep_0.2.0,ok,0,0.41,,5,5,8,1,2,9,10,55.0,0.0,45.0,20,0.0,100.0,55,35,0,3,False,0
prototype-pollution,defaults-deep_0.2.4,ok,0,0.40,,3,3,9,1,3,7,8,59.26,0.0,40.74,27,33.33,66.67,55,35,0,5,False,0
prototype-pollution,doc-path_2.0.0,ok,0,0.40,,2,2,8,1,3,14,14,62.96,0.0,37.04,27,0.0,62.5,50,34,0,4,False,0
prototype-pollution,dot-notes_3.2.0,ok,0,0.44,,2,11,11,1,11,10,15,40.63,0.0,59.38,64,36.36,45.45,83,37,0,3,False,0
prototype-pollution,dot-object_2.1.2,ok,0,0.44,,2,2,35,1,13,30,47,64.54,0.0,35.46,141,48.57,17.14,89,44,0,4,False,0
prototype-pollution,dot-prop_2.0.0,ok,0,0.39,,2,2,6,1,1,5,5,64.29,0.0,35.71,14,50.0,50.0,44,33,0,3,False,0
prototype-pollution,dotty_0.0.1,ok,0,0.40,,2,2,7,1,4,8,8,70.59,0.0,29.41,34,0.0,28.57,54,36,0,5,False,0
prototype-pollution,dset_1.0.0,ok,0,0.39,,2,2,2,1,1,2,2,37.5,0.0,62.5,8,0.0,100.0,41,32,0,2,False,0
prototype-pollution,eivifj-dot_1.0.2,ok,0,0.39,,2,2,4,1,2,2,2,53.33,0.0,46.67,15,50.0,50.0,48,34,0,3,False,0
prototype-pollution,eivindfjeldstad-dot_0.0.1,ok,0,0.39,,2,2,3,1,1,2,2,54.55,0.0,45.45,11,33.33,66.67,44,32,0,3,False,0
prototype-pollution,expand-hash_1.0.1,ok,0,0.40,,2,2,5,1,1,6,6,36.84,0.0,63.16,19,0.0,100.0,49,33,0,4,False,0
prototype-pollution,extend_3.0.1,ok,0,0.40,,2,2,4,1,3,5,7,63.16,0.0,36.84,19,0.0,100.0,54,36,0,4,False,0
prototype-pollution,extend-merge_1.0.5,ok,0,0.40,,2,5,5,1,3,6,8,38.1,0.0,61.9,21,20.0,80.0,58,36,0,4,False,0
prototype-pollution,fabiocaccamo-utils.js_0.17.0,ok,0,0.64,,2,2,317,1,94,302,363,51.99,0.0,48.01,727,58.99,1.58,283,82,0,22,False,0
prototype-pollution,fast-json-patch_2.0.4,ok,0,0.64,,30,64,121,1,77,166,257,44.36,4.59,51.05,523,30.58,57.02,279,74,0,49,False,0
prototype-pollution,field_1.0.1,ok,0,0.40,,2,2,6,1,3,8,9,31.03,0.0,68.97,29,16.67,66.67,51,34,0,12,False,0
prototype-pollution,firebase-util_0.3.2,ok,0,0.55,,3,3,167,1,75,100,140,59.59,0.88,39.53,339,53.89,7.19,194,61,0,29,False,0
prototype-pollution,firebase-util_0.3.3-canary.c47ba31d0,ok,0,0.56,,3,3,169,1,76,101,141,59.41,0.88,39.71,340,53.85,7.1,196,63,0,28,False,0
prototype-pollution,flat_5.0.0,ok,0,0.42,,3,3,13,1,4,16,20,65.22,0.0,34.78,46,0.0,100.0,65,39,0,12,False,0
prototype-pollution,flattenizer_0.0.5,ok,0,0.41,,2,3,17,1,2,14,17,51.72,6.9,41.38,29,23.53,47.06,62,38,0,8,False,0
prototype-pollution,flat-wrap_1.0.2,ok,0,0.42,,2,2,10,1,6,13,16,51.85,0.0,48.15,54,10.0,70.0,76,35,0,21,False,0
prototype-pollution,fluentui-styles_0.47.15,ok,0,0.86,,4,189,263,1,153,498,559,42.52,7.72,49.76,1023,11.03,69.2,502,91,0,96,False,0
prototype-pollution,gammautils_0.0.81,ok,0,0.61,,2,24,233,1,77,116,141,53.78,0.52,45.7,582,67.38,7.73,245,64,0,33,False,0
prototype-pollution,gedi_1.6.3,ok,0,0.75,,9,15,313,1,130,695,840,45.61,6.88,47.51,945,37.06,52.72,402,90,0,85,False,0
prototype-pollution,getobject_0.1.0,ok,0,0.40,,2,2,6,1,2,7,7,75.0,0.0,25.0,20,33.33,66.67,47,34,0,2,False,0
prototype-pollution,getsetdeep_4.15.0,ok,0,0.43,,3,3,31,1,10,25,27,58.93,0.0,41.07,56,61.29,25.81,75,35,0,3,False,0
prototype-pollution,grunt-util-property_0.0.2,ok,0,2.98,,23,109,1424,1,899,15073,21391,57.05,14.64,28.31,3737,29.85,34.41,2596,384,0,374,False,1
prototype-pollution,hoek_5.0.0,ok,0,0.48,,2,3,60,1,27,55,72,47.12,0.96,51.92,208,45.0,13.33,129,53,0,20,False,0
prototype-pollution,i18next_19.7.0,ok,0,0.38,,1,1,2,2,0,3,3,37.5,0.0,62.5,8,0.0,100.0,38,32,0,3,False,0
prototype-pollution,ianwalter-merge_9.0.1,ok,0,0.39,,2,2,3,1,2,4,5,23.81,0.0,76.19,21,0.0,100.0,49,34,0,7,False,0
prototype-pollution,immer_8.0.0,ok,0,0.73,,2,4,317,1,72,579,656,64.37,3.5,32.13,915,35.65,41.32,331,74,0,103,False,0
prototype-pollution,ini_1.3.5,ok,0,0.43,,2,2,15,1,5,17,21,47.22,0.0,52.78,72,13.33,53.33,71,32,0,17,False,0
prototype-pollution,ini-parser_0.0.2,ok,0,0.39,,2,2,5,1,1,5,5,43.75,0.0,56.25,16,40.0,40.0,46,33,0,2,False,0
prototype-pollution,iniparserjs_1.0.4,ok,0,0.42,,2,3,10,1,7,3,3,25.45,0.0,74.55,55,70.0,30.0,67,40,0,3,False,0
prototype-pollution,inireader_1.0.0,ok,0,0.44,,2,4,39,1,22,35,37,29.51,1.64,68.85,122,28.21,38.46,92,44,0,12,False,0
prototype-pollution,ion-parser_0.5.2,ok,0,0.46,,2,2,26,1,15,45,63,46.05,0.0,53.95,152,7.69,88.46,104,38,0,13,False,0
prototype-pollution,jointjs_2.2.1,ok,134,94.78,non-zero exit (see log),,,,,,,,,,,,,,,,,,True,0
prototype-pollution,jointjs_3.4.0,ok,134,79.75,non-zero exit (see log),,,,,,,,,,,,,,,,,,True,0
prototype-pollution,jquery_1.11.0,ok,0,1.10,,2,2,602,1,277,883,1227,38.25,4.95,56.79,1877,43.85,28.41,721,143,1,163,False,1
prototype-pollution,js-data_3.0.9,ok,0,0.89,,2,2,586,1,484,741,898,74.09,2.15,23.75,1625,55.8,13.65,529,104,0,67,False,0
prototype-pollution,js-extend_0.0.1,ok,0,0.39,,2,2,4,1,1,4,4,50.0,0.0,50.0,12,25.0,75.0,43,32,0,2,False,0
prototype-pollution,js-ini_1.2.0,ok,0,0.43,,2,5,7,1,6,5,7,32.76,0.0,67.24,58,28.57,28.57,76,32,0,8,False,0
prototype-pollution,json8-merge-patch_1.0.1,ok,0,0.43,,3,7,9,1,5,12,17,39.53,0.0,60.47,43,0.0,22.22,75,33,0,5,False,0
prototype-pollution,json-pointer_0.6.0,ok,0,0.42,,3,3,17,1,6,20,21,42.37,0.0,57.63,59,17.65,23.53,72,40,0,4,False,0
prototype-pollution,json-pointer_0.6.1,ok,0,0.42,,3,3,17,1,6,20,21,41.67,0.0,58.33,60,17.65,23.53,72,32,0,4,False,0
prototype-pollution,jsonpointer_4.0.0,ok,0,0.41,,2,2,10,1,3,11,11,46.15,0.0,53.85,26,30.0,60.0,57,36,0,5,False,0
prototype-pollution,json-ptr_1.1.0,ok,0,0.45,,2,2,47,1,15,65,99,47.14,7.14,45.71,140,34.04,27.66,98,37,0,15,False,0
prototype-pollution,json-schema_0.3.0,ok,0,0.43,,2,2,14,1,11,21,41,55.22,4.48,40.3,67,14.29,78.57,81,39,0,1,False,0
prototype-pollution,just-extend_3.0.0,ok,0,0.39,,2,2,3,1,2,4,4,44.44,0.0,55.56,18,0.0,100.0,48,33,0,0,False,0
prototype-pollution,just-safe-set_1.0.0,ok,0,0.38,,2,2,2,1,1,2,2,50.0,0.0,50.0,10,0.0,100.0,41,32,0,3,False,0
prototype-pollution,keyd_1.3.4,ok,0,0.43,,2,2,25,1,5,33,36,57.81,0.0,42.19,64,36.0,24.0,73,33,0,7,False,0
prototype-pollution,keyget_2.2.0,ok,0,0.42,,2,2,19,1,7,32,33,60.34,0.0,39.66,58,26.32,26.32,70,32,0,7,False,0
prototype-pollution,libnested_1.5.0,ok,0,0.41,,2,2,13,1,3,15,19,47.06,5.88,47.06,34,30.77,30.77,58,37,0,4,False,0
prototype-pollution,linux-cmdline_1.0.0,ok,0,0.39,,2,2,3,1,2,2,2,70.59,0.0,29.41,17,33.33,66.67,41,32,0,3,False,0
prototype-pollution,locutus_2.0.11,ok,0,1.55,,2,364,770,1,666,694,1000,45.5,2.29,52.2,3270,47.4,0.39,1182,185,0,203,False,0
prototype-pollution,lodash_4.17.10,ok,0,2.17,,2,2,688,1,528,7424,10992,65.61,20.37,14.02,1797,26.31,62.65,1774,346,0,164,False,0
prototype-pollution,lodash_4.17.11,ok,0,2.15,,2,2,688,1,528,7391,10959,65.7,20.32,13.98,1796,26.16,62.94,1764,238,0,164,False,0
prototype-pollution,lodash_4.17.15,ok,0,2.19,,2,2,689,1,528,7395,11065,65.45,20.34,14.21,1809,26.12,62.84,1802,230,0,165,False,0
prototype-pollution,lodash_4.17.9,ok,0,2.15,,2,2,688,1,528,7424,10992,65.61,20.37,14.02,1797,26.31,62.65,1771,230,0,164,False,0
prototype-pollution,lutils_2.4.0,ok,0,0.44,,2,6,43,1,10,42,44,57.32,4.88,37.8,82,30.23,44.19,94,42,0,8,False,0
prototype-pollution,lutils-merge_0.2.6,ok,0,0.42,,3,3,16,1,5,19,21,64.29,2.38,33.33,42,18.75,81.25,66,39,0,2,False,0
prototype-pollution,lyngs-digger_1.0.7,ok,0,0.70,,2,2,191,1,74,712,931,60.71,15.14,24.15,621,10.99,85.86,319,84,0,118,False,0
prototype-pollution,lyngs-merge_1.0.9,ok,0,3.13,,2,2,271,1,92,1565,2064,62.6,13.14,24.26,746,10.33,87.45,2707,689,0,149,False,0
prototype-pollution,madlib-object-utils_0.1.6,ok,0,0.41,,2,2,8,1,4,6,7,73.91,0.0,26.09,23,25.0,75.0,53,35,0,3,False,0
prototype-pollution,mathjs_7.4.0,ok,0,4.54,,10,909,3976,1,2394,23827,26256,50.53,3.46,46.01,16624,55.63,23.01,4124,606,0,346,False,0
prototype-pollution,merge_2.1.0,ok,0,0.41,,2,2,8,1,3,12,16,59.26,0.0,40.74,27,12.5,75.0,60,37,0,8,False,0
prototype-pollution,merge-change_1.0.1,ok,0,0.44,,2,4,32,1,17,16,21,26.09,0.0,73.91,92,68.75,12.5,91,43,0,11,False,0
prototype-pollution,merge-deep2_3.0.5,ok,0,0.45,,15,16,31,1,14,35,40,51.11,0.0,48.89,90,12.9,74.19,102,46,0,10,False,0
prototype-pollution,merge-deep_3.0.0,ok,0,0.46,,17,20,40,1,16,33,37,59.83,0.0,40.17,117,40.0,17.5,110,36,0,13,False,0
prototype-pollution,merge-objects_1.0.3,ok,0,0.39,,2,2,2,1,1,3,3,21.43,0.0,78.57,14,0.0,100.0,44,32,0,5,False,0
prototype-pollution,merge-options_1.0.0,ok,0,0.42,,3,3,15,1,4,27,29,58.93,0.0,41.07,56,0.0,100.0,65,38,0,8,False,0
prototype-pollution,merge-recursive_0.0.3,ok,0,0.40,,2,2,16,1,2,12,14,72.73,0.0,27.27,33,56.25,18.75,53,35,0,3,False,0
prototype-pollution,mergify_1.0.2,ok,0,0.40,,2,2,9,1,2,12,13,41.94,0.0,58.06,31,0.0,100.0,49,35,0,7,False,0
prototype-pollution,minimist_1.0.0,ok,0,0.43,,2,2,19,1,6,23,34,49.46,0.0,50.54,93,5.26,94.74,72,35,0,34,False,0
prototype-pollution,mithril_1.0.0,ok,0,0.63,,2,9,246,1,67,301,361,55.52,2.45,42.02,652,39.02,11.38,271,72,0,53,False,0
prototype-pollution,mixin-deep_1.3.0,ok,0,0.41,,6,6,9,1,3,11,13,50.0,0.0,50.0,28,0.0,100.0,59,37,0,2,False,0
prototype-pollution,mixin-deep_2.0.0,ok,0,0.40,,2,2,4,1,1,6,7,50.0,0.0,50.0,14,0.0,100.0,43,32,0,1,False,0
prototype-pollution,mootools_1.5.2,ok,0,0.50,,2,2,140,1,25,51,63,58.36,0.68,40.96,293,77.86,7.14,143,59,0,15,False,0
prototype-pollution,mout_1.0.0,ok,0,0.87,,2,264,353,1,142,1026,1114,38.02,2.53,59.45,1381,38.53,28.33,511,76,0,52,False,0
prototype-pollution,mpath_0.4.1,ok,0,0.42,,2,3,7,1,7,8,16,50.0,0.0,50.0,54,28.57,42.86,71,34,0,5,False,0
prototype-pollution,mquery_3.2.1,ok,0,1.48,,8,52,747,1,286,5739,9828,51.46,21.7,26.84,2023,21.95,66.0,1107,217,0,129,False,1
prototype-pollution,multi-ini_2.1.0,ok,0,2.43,,3,8,756,1,558,8330,12541,62.71,19.02,18.27,1987,27.91,62.04,2046,241,0,180,False,0
prototype-pollution,nconf-toml_0.0.1,ok,0,0.68,,4,6,174,1,123,338,554,65.81,0.0,34.19,854,4.6,77.01,313,72,0,112,False,0
prototype-pollution,nedb_1.8.0,ok,0,0.84,,6,17,609,1,178,1244,1695,45.62,15.4,38.98,1370,30.87,58.29,478,91,0,113,False,0
prototype-pollution,nested-object-assign_1.0.3,ok,0,0.38,,2,2,1,1,1,1,1,10.0,0.0,90.0,10,0.0,100.0,36,31,0,1,False,0
prototype-pollution,nested-property_0.0.5,ok,0,0.40,,2,2,10,1,5,2,2,66.67,0.0,33.33,18,80.0,20.0,53,36,0,1,False,0
prototype-pollution,nestie_1.0.0,ok,0,0.40,,2,2,3,1,1,3,4,54.55,0.0,45.45,11,0.0,100.0,48,33,0,3,False,0
prototype-pollution,nis-utils_0.6.10,ok,0,1.86,,47,243,1563,1,926,1639,1958,49.8,2.36,47.83,5381,43.7,11.0,1481,225,0,286,False,1
prototype-pollution,node-dig_1.0.1,ok,0,0.38,,2,2,1,1,1,1,1,10.0,0.0,90.0,10,0.0,100.0,35,31,0,1,False,0
prototype-pollution,nodee-utils_1.2.2,ok,0,1.38,,43,134,1016,1,501,1035,1395,46.37,2.97,50.66,3470,39.47,9.45,1015,173,0,217,False,1
prototype-pollution,node-extend_1.0.0,ok,0,0.40,,2,3,3,1,3,4,5,42.86,0.0,57.14,21,0.0,100.0,56,36,0,4,False,0
prototype-pollution,node-forge_0.9.0,ok,0,1.75,,2,45,845,1,854,2200,3470,72.98,2.37,24.66,4818,28.4,25.92,1371,234,0,254,False,0
prototype-pollution,node-ini_1.0.0,ok,0,0.42,,2,2,13,1,6,13,15,51.61,0.0,48.39,31,7.69,92.31,71,33,0,37,False,0
prototype-pollution,node-oojs_1.4.0,ok,0,0.49,,2,2,70,1,32,30,32,29.59,0.0,70.41,196,61.43,15.71,135,58,0,33,False,0
prototype-pollution,object-collider_1.0.3,ok,0,0.42,,2,6,13,1,5,16,18,37.04,0.0,62.96,54,7.69,30.77,73,40,0,3,False,0
prototype-pollution,objection_2.0.0,ok,0,0.52,,2,3,137,1,72,179,204,63.58,6.39,30.03,313,23.36,17.52,165,48,0,17,False,0
prototype-pollution,object-path_0.11.0,ok,0,0.38,,1,1,1,1,0,1,1,14.29,0.0,85.71,7,0.0,100.0,31,30,1,0,False,1
prototype-pollution,object-path_0.11.4,ok,0,0.43,,2,2,25,1,8,43,52,75.0,0.0,25.0,76,24.0,40.0,77,37,0,7,False,0
prototype-pollution,object-path-set_1.0.0,ok,0,0.39,,2,2,2,1,1,3,3,45.45,0.0,54.55,11,0.0,100.0,42,32,0,2,False,0
prototype-pollution,objnest_5.0.0,ok,0,0.45,,4,10,17,1,10,21,26,50.63,0.0,49.37,79,0.0,88.24,100,41,0,17,False,0
prototype-pollution,objtools_3.0.0,ok,0,2.63,,4,7,783,1,584,9217,13715,66.21,18.01,15.78,2110,25.93,58.75,2212,311,0,286,False,0
prototype-pollution,objutil_2.17.3,ok,0,0.43,,2,2,40,1,8,53,62,65.59,1.08,33.33,93,35.0,47.5,83,40,0,27,False,0
prototype-pollution,patchmerge_1.0.0,ok,0,0.40,,2,2,6,1,4,12,15,45.45,0.0,54.55,33,0.0,100.0,54,36,0,0,False,0
prototype-pollution,patchmerge_1.0.1,ok,0,0.40,,2,2,6,1,4,12,15,45.45,0.0,54.55,33,0.0,100.0,54,37,0,0,False,0
prototype-pollution,pathval_1.1.0,ok,0,0.41,,2,2,9,1,8,8,9,61.9,0.0,38.1,21,22.22,44.44,56,37,0,6,False,0
prototype-pollution,paypal-adaptive_0.4.1,ok,0,0.44,,2,2,22,1,8,18,18,57.75,0.0,42.25,71,45.45,22.73,72,33,0,4,False,0
prototype-pollution,phpjs_1.3.2,ok,0,1.19,,2,3,624,1,412,277,477,56.65,0.57,42.78,2445,69.39,0.48,820,146,0,78,False,0
prototype-pollution,plain-object-merge_1.0.1,ok,0,0.40,,4,4,5,1,2,8,8,38.1,0.0,61.9,21,0.0,100.0,56,35,0,2,False,0
prototype-pollution,predefine_0.1.2,ok,0,0.43,,3,3,27,1,12,20,29,54.55,6.06,39.39,66,44.44,18.52,77,35,0,15,False,0
prototype-pollution,promisehelpers_0.0.5,ok,0,0.40,,3,3,10,1,3,5,5,57.14,0.0,42.86,14,50.0,50.0,49,34,0,3,False,0
prototype-pollution,properties-reader_2.0.0,ok,0,0.44,,3,5,37,1,15,24,29,50.0,4.24,45.76,118,54.05,18.92,92,42,0,9,False,0
prototype-pollution,property-expr_2.0.2,ok,0,0.41,,2,2,20,1,4,24,26,65.91,2.27,31.82,44,25.0,50.0,61,38,0,7,False,0
prototype-pollution,Proto_1.1.4,ok,0,0.50,,2,2,75,1,21,152,362,79.74,8.5,11.76,153,18.67,72.0,148,46,0,23,False,0
prototype-pollution,prototyped.js_2.0.0,ok,0,0.41,,2,3,14,1,3,8,8,62.5,0.0,37.5,32,50.0,28.57,60,36,0,3,False,0
prototype-pollution,putil-merge_3.0.0,ok,0,0.41,,2,2,6,1,3,6,10,45.45,0.0,54.55,33,33.33,66.67,54,36,0,7,False,0
prototype-pollution,querymen_2.1.3,ok,0,2.67,,4,8,803,1,571,11036,16565,63.03,19.45,17.53,2134,26.65,58.53,2290,358,0,187,False,0
prototype-pollution,rdf-graph-array_0.3.0,ok,0,0.49,,4,5,97,1,34,98,112,60.34,1.27,38.4,237,40.21,7.22,140,58,0,35,False,0
prototype-pollution,record-like-deep-assign_1.0.1,ok,0,0.39,,2,2,2,1,1,3,3,27.27,0.0,72.73,11,0.0,100.0,44,32,0,2,False,0
prototype-pollution,rfc6902_4.0.2,ok,0,0.46,,2,6,59,1,30,96,116,64.86,3.24,31.89,185,13.56,83.05,113,42,0,19,False,0
prototype-pollution,safe-flat_2.0.0,ok,0,0.40,,2,2,10,1,2,11,11,58.33,0.0,41.67,24,30.0,50.0,50,34,0,2,False,0
prototype-pollution,safe-obj_1.0.0,ok,0,0.41,,2,2,16,1,4,23,25,65.85,4.88,29.27,41,18.75,25.0,64,39,0,8,False,0
prototype-pollution,safe-object2_1.0.3,ok,0,0.42,,2,2,18,1,2,18,20,56.76,2.7,40.54,37,27.78,55.56,66,39,0,11,False,0
prototype-pollution,safetydance_2.0.1,ok,0,0.43,,2,2,57,1,8,77,77,61.26,0.9,37.84,111,45.61,3.51,79,37,0,4,False,0
prototype-pollution,sahmat_1.0.0,ok,0,0.39,,2,2,2,1,1,2,2,50.0,0.0,50.0,10,0.0,100.0,41,32,0,2,False,0
prototype-pollution,sds_3.2.0,ok,0,1.49,,7,48,778,1,668,1753,2537,73.59,1.73,24.69,3419,17.99,0.51,1118,209,0,75,False,0
prototype-pollution,set-deep-prop_1.0.0,ok,0,0.39,,2,2,2,1,1,2,2,28.57,0.0,71.43,7,0.0,100.0,41,32,0,1,False,0
prototype-pollution,set-getter_0.1.0,ok,0,0.42,,5,5,11,1,6,13,14,60.53,0.0,39.47,38,9.09,90.91,65,39,0,4,False,0
prototype-pollution,set-in_1.0.0,ok,0,0.93,,69,194,333,1,192,650,819,40.17,4.3,55.53,1745,18.02,46.25,580,96,0,100,False,0
prototype-pollution,set-object-value_0.0.5,ok,0,0.39,,2,2,3,1,1,3,3,27.27,0.0,72.73,11,0.0,100.0,44,33,0,11,False,0
prototype-pollution,set-or-get_1.2.10,ok,0,0.42,,6,6,12,1,5,10,12,51.85,3.7,44.44,27,25.0,75.0,61,38,0,2,False,0
prototype-pollution,set-value_3.0.0,ok,0,0.42,,4,4,9,1,4,9,13,46.88,0.0,53.13,32,0.0,100.0,64,39,0,10,False,0
prototype-pollution,shvl_2.0.1,ok,0,0.39,,2,2,5,1,1,2,2,64.29,0.0,35.71,14,60.0,40.0,41,32,0,0,False,0
prototype-pollution,simpl-schema_1.10.0,ok,0,0.87,,8,40,535,1,246,559,637,49.97,2.81,47.22,1639,25.79,14.77,505,107,0,158,False,0
prototype-pollution,smart-extend_1.7.3,ok,0,0.43,,2,2,32,1,3,30,35,66.67,0.0,33.33,57,65.63,15.63,76,36,0,16,False,0
prototype-pollution,strikeentco-set_1.0.0,ok,0,0.39,,2,2,4,1,1,5,5,46.15,0.0,53.85,13,0.0,100.0,45,33,0,3,False,0
prototype-pollution,style-dictionary_2.10.2,ok,0,4.08,,28,160,1658,1,992,14263,20656,51.92,13.71,34.38,5326,26.66,55.73,3680,555,0,387,False,0
prototype-pollution,supermixer_1.0.3,ok,0,0.51,,3,39,51,1,36,91,107,48.45,4.12,47.42,194,3.92,96.08,148,56,0,15,False,0
prototype-pollution,swiper_6.5.0,ok,0,1.24,,4,92,659,1,342,477,601,29.95,1.79,68.27,2688,65.1,3.64,874,161,0,107,False,0
prototype-pollution,Templ8_0.7.0,ok,0,0.50,,2,2,115,1,27,115,144,47.38,0.28,52.34,363,43.48,26.96,139,58,0,20,False,0
prototype-pollution,think-config_1.0.0,ok,0,0.62,,7,7,214,1,103,272,414,67.92,2.66,29.42,639,20.56,50.93,265,74,0,47,False,0
